6;JUNGLE;GORILLA
27;TUNDRA;MONKEY,LEOPARD,JACKALOPE
17;SAVANNAH;OWL,SNAKE
5;JUNGLE;LYNX
3;JUNGLE;TARSIER,TURTLE
24;TUNDRA;JACKALOPE,BUFFALO
7;JUNGLE;MONKEY,LYNX,TURTLE
14;SAVANNAH;GORILLA,WHITE_TIGER,OWL
7;JUNGLE;SNAKE,WHITE_TIGER
9;JUNGLE;LEOPARD,WHITE_GORILLA,MONKEY
1;JUNGLE;LEOPARD
9;JUNGLE;GORILLA
2;JUNGLE;LEOPARD
26;TUNDRA;BUFFALO
20;SAVANNAH;TIGER
27;TUNDRA;GORILLA,MONKEY
13;SAVANNAH;GORILLA,TURTLE,WHITE_GORILLA
6;JUNGLE;OWL,JACKALOPE,TIGER
23;TUNDRA;OWL,TIGER,SNAKE
29;TUNDRA;TIGER,MONKEY
19;SAVANNAH;JACKALOPE
1;JUNGLE;OWL,MONKEY,GORILLA
20;SAVANNAH;OWL,BUFFALO
25;TUNDRA;GORILLA,OWL
8;JUNGLE;GORILLA
20;SAVANNAH;LYNX
1;JUNGLE;GORILLA,LYNX,OWL
4;JUNGLE;SNAKE
4;JUNGLE;OWL,LEOPARD
3;JUNGLE;SNAKE
6;JUNGLE;TARSIER,OWL
28;TUNDRA;TIGER,LEOPARD,MONKEY
9;JUNGLE;OWL,SNAKE
8;JUNGLE;TURTLE,MONKEY
21;TUNDRA;GORILLA,TURTLE,BUFFALO
6;JUNGLE;JACKALOPE,BUFFALO
29;TUNDRA;GORILLA,WHITE_TIGER,BUFFALO
3;JUNGLE;GORILLA,TURTLE,LEOPARD
22;TUNDRA;BUFFALO
25;TUNDRA;WHITE_GORILLA,SNAKE
29;TUNDRA;TIGER,SNAKE,OWL
30;TUNDRA;MONKEY
20;SAVANNAH;TIGER
10;JUNGLE;TURTLE,BUFFALO,WHITE_TIGER
22;TUNDRA;BUFFALO
21;TUNDRA;WHITE_GORILLA,LEOPARD,JACKALOPE
30;TUNDRA;BUFFALO,LEOPARD
22;TUNDRA;LYNX,WHITE_GORILLA
25;TUNDRA;TIGER,OWL,TURTLE
20;SAVANNAH;MONKEY,TURTLE,JACKALOPE
2;JUNGLE;JACKALOPE,BUFFALO
26;TUNDRA;SNAKE
25;TUNDRA;BUFFALO,WHITE_GORILLA
19;SAVANNAH;WHITE_TIGER,TIGER
10;JUNGLE;TURTLE,SNAKE,WHITE_GORILLA
6;JUNGLE;WHITE_TIGER
3;JUNGLE;TIGER,SNAKE,TURTLE
